id,device_id,ts,activity,pp1,pp2,pp3,,participant,recipient,sender,Temperature
257,3606,2024-08-28T08:17:26,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",15.3125
258,3606,2024-08-28T09:16:41,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.625
259,3618,2024-08-28T09:25:29,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor_test",24.3125
260,3606,2024-08-28T10:15:39,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.375
261,3606,2024-08-28T11:14:57,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.8125
262,3618,2024-08-28T11:22:01,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor_test",23.0625
263,3606,2024-08-28T12:14:08,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",25.625
264,3618,2024-08-28T12:21:04,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor_test",23.75
265,3606,2024-08-28T13:13:25,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",27.75
266,3606,2024-08-28T14:12:32,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",28.9375
267,3618,2024-08-28T14:19:33,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",29.625
268,3606,2024-08-28T15:11:45,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",30.5625
269,3618,2024-08-28T15:16:47,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",30.875
270,3606,2024-08-28T16:11:13,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",32.0
271,3618,2024-08-28T16:15:52,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",30.4375
272,3606,2024-08-28T17:10:13,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",32.8125
273,3618,2024-08-28T17:14:52,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",30.3125
274,3606,2024-08-28T18:09:31,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",33.0
275,3618,2024-08-28T18:14:00,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",30.0
276,3606,2024-08-28T20:07:20,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",26.1875
277,3618,2024-08-28T20:12:08,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",27.8125
278,3606,2024-08-28T21:02:50,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.625
279,3618,2024-08-28T21:11:12,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",26.125
280,3618,2024-08-28T22:10:13,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",25.0625
281,3606,2024-08-28T22:56:42,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",21.5625
282,3618,2024-08-28T23:09:11,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",24.1875
283,3606,2024-08-28T23:56:42,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.5625
284,3618,2024-08-29T00:08:14,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",24.1875
285,3606,2024-08-29T00:54:02,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.25
286,3618,2024-08-29T01:07:21,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",23.5625
287,3618,2024-08-29T02:06:20,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",23.0
288,3618,2024-08-29T03:05:22,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",22.0625
289,3618,2024-08-29T04:04:29,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",21.5625
290,3606,2024-08-29T05:02:07,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.8125
291,3618,2024-08-29T05:03:30,,H2,,,,"H2","HH_outdoor_temp","HH2_outdoor",21.0
